K,f1_mean,f1_std,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_mean,accuracy_std
1,0.7880571909167368,0.0,0.9433351332805178,0.0,0.8143105446118193,0.0,0.7634437805540467,0.0,0.9671039749363619,0.0
3,0.8027153160797624,0.0,0.9422723478022118,0.0,0.8374151667158454,0.0,0.7707767517653449,0.0,0.9696495006853338,0.0
5,0.8063690645436451,0.0,0.947552230703554,0.0,0.8460620525059666,0.0,0.7702335687126561,0.0,0.9703674694863259,0.0
7,0.7827576363117328,0.0,0.9489420199336014,0.0,0.8249097472924187,0.0,0.7447039652362847,0.0,0.9668864086330309,0.0
