K,f1_mean,f1_std,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_mean,accuracy_std
1,0.8236596552269493,0.0,0.9302961963144564,0.0,0.9859901552442256,0.0,0.7072243346007605,0.0,0.9757413571786002,0.0
3,0.8188901256161552,0.0,0.9153387720327107,0.0,0.9877253548139624,0.0,0.6993481803367735,0.0,0.975219198050606,0.0
5,0.8243863816310372,0.0,0.9251012576278769,0.0,0.9886061526775541,0.0,0.706952743074416,0.0,0.9758718969605987,0.0
7,0.8210827115415146,0.0,0.9240241124405492,0.0,0.9881543752388231,0.0,0.7023356871265617,0.0,0.9754802776146031,0.0
