total_time,init_time,training_time,final_eval_time,avg_epoch_time,total_epochs,model,model_type,K,sampling,architecture
227.49936604499817,0.3915119171142578,210.3963348865509,16.677760124206543,19.166219115257263,10,Standard GCN,standard_gcn,1,No,GCN
1191.3271269798279,0.0037119388580322266,1172.79128408432,18.48138117790222,49.51926612854004,10,Standard GCN,standard_gcn,3,No,GCN
270.8553202152252,0.00625300407409668,250.39070415496826,20.4132821559906,22.717092871665955,10,Standard GCN,standard_gcn,5,No,GCN
291.38417887687683,0.002894878387451172,268.60655069351196,22.7257559299469,24.41894268989563,10,Standard GCN,standard_gcn,7,No,GCN
52.663915157318115,0.004173755645751953,44.35559010505676,8.26517915725708,3.5078638553619386,10,"GCN + Sampling [25, 10]",sampled_gcn,1,Yes,GCN
1103.9520242214203,0.003175020217895508,862.8340730667114,241.06017875671387,85.15996689796448,10,"GCN + Sampling [25, 10]",sampled_gcn,3,Yes,GCN
70.67781019210815,0.0028121471405029297,61.03464698791504,9.603079319000244,4.84673330783844,10,"GCN + Sampling [25, 10]",sampled_gcn,5,Yes,GCN
72.71393418312073,0.0024268627166748047,63.01207184791565,9.62263298034668,4.94311294555664,10,"GCN + Sampling [25, 10]",sampled_gcn,7,Yes,GCN
263.33016705513,0.39672422409057617,245.57131385803223,17.313862800598145,22.530551862716674,10,GraphSAGE,standard_sage,1,No,SAGE
281.59724712371826,0.0033860206604003906,262.7987377643585,18.746002912521362,24.230257821083068,10,GraphSAGE,standard_sage,3,No,SAGE
299.4187252521515,0.0037670135498046875,281.4459009170532,17.92164182662964,25.91963062286377,10,GraphSAGE,standard_sage,5,No,SAGE
331.25716400146484,0.003231048583984375,310.67615580558777,20.52871012687683,28.629674863815307,10,GraphSAGE,standard_sage,7,No,SAGE
57.8876531124115,0.0043027400970458984,49.85205817222595,7.992480039596558,3.9355728149414064,10,"GraphSAGE + Sampling [25, 10]",sampled_sage,1,Yes,SAGE
62.239863872528076,0.003152132034301758,53.48513102531433,8.697277069091797,4.131308245658874,10,"GraphSAGE + Sampling [25, 10]",sampled_sage,3,Yes,SAGE
69.3012900352478,0.0029070377349853516,59.72398281097412,9.533012866973877,4.694863867759705,10,"GraphSAGE + Sampling [25, 10]",sampled_sage,5,Yes,SAGE
74.53224802017212,0.003000020980834961,64.69814705848694,9.744452953338623,5.064381551742554,10,"GraphSAGE + Sampling [25, 10]",sampled_sage,7,Yes,SAGE
