K,Accuracy,Precision,Recall,F1,AUC
0,0.9056,0.1531,0.2223,0.1813,0.6505
3,0.9489,0.1005,0.0108,0.0195,0.5687
5,0.9475,0.0349,0.0043,0.0077,0.5693
