model,K,f1_mean,f1_std,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_mean,accuracy_std
Static GCN,1,0.16828532632876816,0.15600159927991486,0.5085652779096913,0.15371684100346433,0.13338797702993757,0.1529795587974511,0.4762810066992576,0.47664926723077894,0.5101132069998332,0.4033314702461811
Static GCN,3,0.12343816500783616,0.053613302803045375,0.602847033442134,0.013123227168224401,0.4598360038197525,0.3541011485284694,0.2592793771500996,0.36117714629706893,0.78756826142767,0.23083780374670076
Static GCN,5,0.17915651629442608,0.026947070665553036,0.5479327601020569,0.041807301258809805,0.1851184913335124,0.0935202990435568,0.4444142676081839,0.48048235782176246,0.6199189202909586,0.4667129134555998
Static GCN,7,0.16591014010315855,0.058817315252909806,0.5896626836797133,0.050263011535657896,0.15118317572970888,0.05270451043838667,0.34501176896614155,0.37963913537462585,0.76302678241194,0.20277522974846673
Temporal GCN,1,0.31181727948618915,0.0647463347152239,0.7525369429502947,0.04347111705889437,0.22923802376299365,0.04977503933667129,0.5022632627195365,0.1271693306251903,0.822016259455069,0.03987417797700693
Temporal GCN,3,0.33829065267517405,0.042283756165317064,0.7323619939250671,0.062169753541301345,0.2634326925394332,0.021486887112487415,0.5004526525439074,0.16009677383651033,0.846340172167468,0.03182406309871597
Temporal GCN,5,0.30126612782739265,0.018545073497247846,0.6793941682764678,0.015402505775015916,0.2305962649180724,0.01651845238069867,0.4349085641861307,0.024645091656478317,0.8382612101037791,0.00808635736546883
Temporal GCN,7,0.3322912715470172,0.03421755527214299,0.7819911492204992,0.002588736188908918,0.23315188216661117,0.028885066856653555,0.5799384392540287,0.03614344821697991,0.8123563155871752,0.019321018818781874
