seed,K,split,accuracy,precision,recall,f1,auc
42,1,train,0.9091629737163814,0.3459305509913463,0.47148402508211407,0.39906488911354016,0.7446172331713905
42,1,val,0.907747105966162,0.4111198120595145,0.6489493201483313,0.5033557046979866,0.8478362543827009
42,1,test,0.882666492613624,0.3058770138416156,0.3661053775122216,0.3332921251081716,0.6663038177067346
42,3,train,0.9379966381418093,0.6728187919463087,0.059868617497760526,0.10995338634494105,0.645353258882079
42,3,val,0.9365093499554764,0.8116883116883117,0.15451174289245984,0.25960539979231567,0.6649872268711
42,3,test,0.9226334225355177,0.815,0.044269418794133625,0.08397733127253992,0.6180001493075716
42,5,train,0.06397081295843521,0.06397081295843521,1.0,0.12024918762679306,0.4992790209607279
42,5,val,0.07203918076580587,0.07203918076580587,1.0,0.13439654456350195,0.49938195302843014
42,5,test,0.08108696125144138,0.08011326508385973,0.9989136338946225,0.14833037586707534,0.49978835247034076
42,7,train,0.6422868276283619,0.1359375,0.857270827112571,0.2346642690751563,0.7465987001776913
42,7,val,0.3968833481745325,0.09908577574616832,0.9110012360939431,0.17873165999757487,0.6382038075868721
42,7,test,0.5289036833975154,0.121168683334036,0.7805540467137425,0.2097733659355498,0.6469928546781645
123,1,train,0.4266217145476773,0.007261238290560391,0.0586742311137653,0.012923167984742112,0.29593900906012743
123,1,val,0.7020480854853072,0.0689772341148488,0.25092707045735474,0.10820895522388059,0.6555330238492234
123,1,test,0.5658681983334422,0.01415263346470799,0.0643671917436176,0.02320344625024476,0.35921351369444754
123,3,train,0.9379775366748166,0.6123348017621145,0.08300985368766796,0.14620036813042336,0.6366339365015445
123,3,val,0.9377560106856634,0.8055555555555556,0.1792336217552534,0.29322548028311424,0.6785840230142877
123,3,test,0.9190435785305572,0.45770065075921906,0.05730581205866377,0.1018585566014965,0.5951904693516018
123,5,train,0.9112545843520783,0.3029474323913704,0.2977008062108092,0.30030120481927713,0.6558306675113711
123,5,val,0.9135351736420303,0.40097799511002447,0.4054388133498146,0.4031960663798402,0.710785272535525
123,5,test,0.8812087983813067,0.21579283887468031,0.18332428028245518,0.19823788546255505,0.5750770070309325
123,7,train,0.9151321821515892,0.3165660630449363,0.2818751866228725,0.2982151318906966,0.6504241690384196
123,7,val,0.9197684772929653,0.4380053908355795,0.40173053152039556,0.4190844616376531,0.7109212654062486
123,7,test,0.8828405456562888,0.21203922894825836,0.17028788701792505,0.18888386805241753,0.5688276012839321
456,1,train,0.06397081295843521,0.06397081295843521,1.0,0.12024918762679306,0.5
456,1,val,0.07203918076580587,0.07203918076580587,1.0,0.13439654456350195,0.5
456,1,test,0.08180493005243349,0.0801342837834892,0.9983704508419338,0.1483604076278882,0.5001785023278916
456,3,train,0.6190021393643031,0.1114934456928839,0.7111077933711556,0.19276377028613056,0.6789707901260296
456,3,val,0.30943900267141583,0.07532404010760577,0.761433868974042,0.13708690330477355,0.4314476722800744
456,3,test,0.5210277832169353,0.1068073607000386,0.6762629005975014,0.18447860714947212,0.5953504816672284
456,5,train,0.9261250764058679,0.37687010211351224,0.23693639892505225,0.2909524246035384,0.6479578603565915
456,5,val,0.9297417631344612,0.517921146953405,0.3572311495673671,0.4228237015362107,0.7073406733503435
456,5,test,0.897461001240128,0.2594493700419972,0.1510048886474742,0.19090128755364807,0.5689329208048977
456,7,train,0.8861934596577017,0.11923525977816696,0.12197670946551209,0.12059040590405903,0.6291792341986583
456,7,val,0.9024042742653606,0.3239263803680982,0.3263288009888752,0.3251231527093596,0.825803926629563
456,7,test,0.877336118182016,0.1203416149068323,0.0841933731667572,0.09907318632150847,0.5531675950770435
