seed,K,split,accuracy,precision,recall,f1,auc
456,1,train,0.06397081295843521,0.06397081295843521,1.0,0.12024918762679306,0.5
456,1,val,0.07203918076580587,0.07203918076580587,1.0,0.13439654456350195,0.5
456,1,test,0.08180493005243349,0.0801342837834892,0.9983704508419338,0.1483604076278882,0.5001785023278916
456,3,train,0.6190021393643031,0.1114934456928839,0.7111077933711556,0.19276377028613056,0.6789707901260296
456,3,val,0.30943900267141583,0.07532404010760577,0.761433868974042,0.13708690330477355,0.4314476722800744
456,3,test,0.5210277832169353,0.1068073607000386,0.6762629005975014,0.18447860714947212,0.5953504816672284
456,5,train,0.9261250764058679,0.37687010211351224,0.23693639892505225,0.2909524246035384,0.6479578603565915
456,5,val,0.9297417631344612,0.517921146953405,0.3572311495673671,0.4228237015362107,0.7073406733503435
456,5,test,0.897461001240128,0.2594493700419972,0.1510048886474742,0.19090128755364807,0.5689329208048977
456,7,train,0.8861934596577017,0.11923525977816696,0.12197670946551209,0.12059040590405903,0.6291792341986583
456,7,val,0.9024042742653606,0.3239263803680982,0.3263288009888752,0.3251231527093596,0.825803926629563
456,7,test,0.877336118182016,0.1203416149068323,0.0841933731667572,0.09907318632150847,0.5531675950770435
