K,f1_mean,f1_std,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_mean,accuracy_std
1,0.16828532632876816,0.15600159927991483,0.5085652779096913,0.15371684100346433,0.13338797702993757,0.15297955879745104,0.4762810066992576,0.476649267230779,0.5101132069998332,0.403331470246181
3,0.12343816500783618,0.053613302803045375,0.602847033442134,0.013123227168224392,0.4598360038197525,0.3541011485284694,0.2592793771500996,0.3611771462970688,0.7875682614276701,0.23083780374670082
5,0.17915651629442617,0.02694707066555303,0.5479327601020569,0.04180730125880977,0.18511849133351244,0.0935202990435568,0.444414267608184,0.4804823578217626,0.6199189202909587,0.46671291345559973
7,0.1659101401031586,0.05881731525290978,0.5896626836797133,0.05026301153565793,0.15118317572970888,0.052704510438386705,0.3450117689661416,0.37963913537462585,0.76302678241194,0.2027752297484667
