seed,K,split,accuracy,precision,recall,f1,auc
123,1,train,0.4266217145476773,0.007261238290560391,0.0586742311137653,0.012923167984742112,0.29593900906012743
123,1,val,0.7020480854853072,0.0689772341148488,0.25092707045735474,0.10820895522388059,0.6555330238492234
123,1,test,0.5658681983334422,0.01415263346470799,0.0643671917436176,0.02320344625024476,0.35921351369444754
123,3,train,0.9379775366748166,0.6123348017621145,0.08300985368766796,0.14620036813042336,0.6366339365015445
123,3,val,0.9377560106856634,0.8055555555555556,0.1792336217552534,0.29322548028311424,0.6785840230142877
123,3,test,0.9190435785305572,0.45770065075921906,0.05730581205866377,0.1018585566014965,0.5951904693516018
123,5,train,0.9112545843520783,0.3029474323913704,0.2977008062108092,0.30030120481927713,0.6558306675113711
123,5,val,0.9135351736420303,0.40097799511002447,0.4054388133498146,0.4031960663798402,0.710785272535525
123,5,test,0.8812087983813067,0.21579283887468031,0.18332428028245518,0.19823788546255505,0.5750770070309325
123,7,train,0.9151321821515892,0.3165660630449363,0.2818751866228725,0.2982151318906966,0.6504241690384196
123,7,val,0.9197684772929653,0.4380053908355795,0.40173053152039556,0.4190844616376531,0.7109212654062486
123,7,test,0.8828405456562888,0.21203922894825836,0.17028788701792505,0.18888386805241753,0.5688276012839321
