K,f1_mean,f1_std,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_mean,accuracy_std
1,0.2493286219081272,0.0,0.8746078315611205,0.0,0.14330977333658299,0.0,0.9581749049429658,0.0,0.5378021452037508,0.0
3,0.2511929349761413,0.0,0.8744375320283178,0.0,0.14454918032786884,0.0,0.9579033134166214,0.0,0.5425015773556991,0.0
5,0.24749210803226937,0.0,0.8693463969193668,0.0,0.14209763170613823,0.0,0.9581749049429658,0.0,0.5332332528338011,0.0
7,0.24493050019064785,0.0,0.8649279488190806,0.0,0.14038224659276036,0.0,0.9595328625746876,0.0,0.5260753214542132,0.0
