seed,K,split,accuracy,precision,recall,f1,auc
42,1,train,0.7914883863080685,0.1836009366114735,0.6555688265153777,0.2868622198993924,0.8258707562812636
42,1,val,0.7856634016028495,0.23905943827563683,0.9048207663782447,0.378196848359597,0.8946723058139827
42,1,test,0.7761460305027957,0.1911750958212583,0.5554046713742531,0.28444258988803117,0.7360218205140818
42,3,train,0.8778079156479217,0.29248366013071897,0.6413854882054345,0.40175815954362665,0.849642758966738
42,3,val,0.8468388245770259,0.26459948320413434,0.6328800988875154,0.37317784256559766,0.8469425445837772
42,3,test,0.8558405674129191,0.2856102534226624,0.5325909831613254,0.3718240424725066,0.766967757850817
42,5,train,0.879336033007335,0.2805383022774327,0.5664377426097342,0.3752348926911285,0.7729175020131337
42,5,val,0.8469278717720392,0.2647362978283351,0.6328800988875154,0.3733138899015676,0.8700503606568888
42,5,test,0.8475948045166765,0.2478373045985734,0.44350896252036937,0.31798266965241945,0.6971714238103388
42,7,train,0.8104561430317848,0.19514004822852904,0.628247237981487,0.29778501167645605,0.8538345319312965
42,7,val,0.8195013357079252,0.27377414561664193,0.9110012360939431,0.42102256498143387,0.9165865516632348
42,7,test,0.7945303831342602,0.20384457236842105,0.5385659967409017,0.29574944071588366,0.7830421240442219
