seed,K,split,accuracy,precision,recall,f1,auc
42,1,train,0.7914883863080685,0.1836009366114735,0.6555688265153777,0.2868622198993924,0.8258707562812636
42,1,val,0.7856634016028495,0.23905943827563683,0.9048207663782447,0.378196848359597,0.8946723058139827
42,1,test,0.7761460305027957,0.1911750958212583,0.5554046713742531,0.28444258988803117,0.7360218205140818
42,3,train,0.8778079156479217,0.29248366013071897,0.6413854882054345,0.40175815954362665,0.849642758966738
42,3,val,0.8468388245770259,0.26459948320413434,0.6328800988875154,0.37317784256559766,0.8469425445837772
42,3,test,0.8558405674129191,0.2856102534226624,0.5325909831613254,0.3718240424725066,0.766967757850817
42,5,train,0.879336033007335,0.2805383022774327,0.5664377426097342,0.3752348926911285,0.7729175020131337
42,5,val,0.8469278717720392,0.2647362978283351,0.6328800988875154,0.3733138899015676,0.8700503606568888
42,5,test,0.8475948045166765,0.2478373045985734,0.44350896252036937,0.31798266965241945,0.6971714238103388
42,7,train,0.8104561430317848,0.19514004822852904,0.628247237981487,0.29778501167645605,0.8538345319312965
42,7,val,0.8195013357079252,0.27377414561664193,0.9110012360939431,0.42102256498143387,0.9165865516632348
42,7,test,0.7945303831342602,0.20384457236842105,0.5385659967409017,0.29574944071588366,0.7830421240442219
123,1,train,0.8725454614914425,0.2504692544485322,0.4980591221260078,0.3333166808213019,0.8024492350292544
123,1,val,0.8597506678539626,0.31443798449612403,0.8022249690976514,0.45179255134006263,0.893824263049711
123,1,test,0.8415029480234101,0.21097384886892348,0.35714285714285715,0.2652546646495209,0.7197436081180616
123,3,train,0.843549434596577,0.24902804416567312,0.7172290235891311,0.36969487090692216,0.837724434236289
123,3,val,0.7940338379341051,0.24899866488651534,0.9221260815822002,0.3921156373193167,0.8674770529081657
123,3,test,0.8108478558840807,0.2427104722792608,0.6420423682781097,0.35225748770675014,0.7695284527212153
123,5,train,0.8697470965770171,0.2572408003358052,0.5489698417438041,0.3503239329268293,0.7555685967928777
123,5,val,0.8369545859305432,0.24500998003992017,0.6069221260815822,0.3490934944898685,0.838266401078264
123,5,test,0.833365968278833,0.21491039426523298,0.4071156979902227,0.2813174439335648,0.6709682211899046
123,7,train,0.8443994498777506,0.24391415759128762,0.6821439235592714,0.35933936295713725,0.8645385592171623
123,7,val,0.8123775601068567,0.26621037463976943,0.9134734239802225,0.4122733612273361,0.9267051210775428
123,7,test,0.8096512412157605,0.23401574803149605,0.6053775122216187,0.33754826985689407,0.7838891188426478
456,1,train,0.8773972341075794,0.2971651357959426,0.6713944461033144,0.41198296001099355,0.8736645635439764
456,1,val,0.844612644701692,0.29273693534100975,0.8170580964153276,0.43104010433648515,0.9049728316728523
456,1,test,0.8483997998390009,0.2855651265987993,0.5942422596414992,0.3857545839210155,0.8018454002187405
456,3,train,0.9014937347188264,0.3109972820405603,0.44416243654822335,0.3658386620757501,0.7532747970646972
456,3,val,0.8995547640249332,0.3616652211621856,0.515451174289246,0.42507645259938837,0.7622420568717085
456,3,test,0.8723320932054044,0.26197735191637633,0.3267246061922868,0.2907904278462654,0.6605897712031688
456,5,train,0.8675790800733496,0.2563405181206228,0.5628545834577486,0.35225414622751694,0.767243216874974
456,5,val,0.8299198575244879,0.23723150357995226,0.6143386897404203,0.34228650137741046,0.7580805445503274
456,5,test,0.833822857515828,0.22904109589041097,0.4541010320478001,0.3044982698961938,0.6700428598291601
456,7,train,0.8647520629584352,0.2744363174756695,0.6778142729172888,0.3906888688094316,0.8570732330103286
456,7,val,0.8292074799643812,0.2846601941747573,0.9060568603213844,0.43321513002364065,0.9243959111279176
456,7,test,0.8328873224115049,0.26159532609991654,0.5958718087995655,0.36357610406827406,0.7790422047746278
