K,F1_mean,F1_std,AUC_mean,AUC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Accuracy_mean,Accuracy_std
1,0.31181727948618915,0.0647463347152239,0.7525369429502947,0.04347111705889441,0.2292380237629937,0.049775039336671274,0.5022632627195365,0.12716933062519029,0.822016259455069,0.03987417797700694
3,0.33829065267517405,0.042283756165317064,0.7323619939250671,0.062169753541301304,0.2634326925394332,0.02148688711248743,0.5004526525439073,0.16009677383651036,0.846340172167468,0.031824063098715966
5,0.30126612782739265,0.018545073497247884,0.6793941682764678,0.015402505775015925,0.23059626491807247,0.016518452380698625,0.4349085641861307,0.024645091656478327,0.8382612101037793,0.008086357365468791
7,0.33229127154701726,0.03421755527214299,0.7819911492204992,0.002588736188908929,0.2331518821666112,0.028885066856653544,0.5799384392540285,0.036143448216979866,0.8123563155871752,0.01932101881878186
