K,f1_mean,f1_std,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_mean,accuracy_std
1,0.23253229615224336,0.0,0.7123974205787329,0.0,0.13331209683841683,0.0,0.9092884302009777,0.0,0.5191784696386224,0.0
3,0.23414531709365813,0.0,0.6845206357850937,0.0,0.13439132181599037,0.0,0.9084736556219446,0.0,0.5239214150512369,0.0
5,0.2341579481437419,0.0,0.6858040424067934,0.0,0.13439370205245613,0.0,0.908745247148289,0.0,0.5238126318995714,0.0
7,0.2331313975349906,0.0,0.6910965281929939,0.0,0.13370607028753995,0.0,0.9092884302009777,0.0,0.5207884602832713,0.0
